,content,title,rating
1072,Ben Hopkins Drama|Fantasy|Mystery|Romance jewish community|outcast|devil|curse Noah Taylor|Stuart Townsend|Embeth Davidtz|Rutger Hauer|Ian Holm|Sean McGinley|Terence Rigby|Amanda Ryan|David de Keyser|Toby Jones|Jim Dunk|Ursula Jones|Cyril Shaps|Ken Drury|Tom Fisher,Simon Magus (1999),10
912,Arthur Penn Action prisoner|political prisoner|apartheid|retribution Nigel Hawthorne|Eric Stoltz|Louis Gossett Jr.|Ian Roberts|Louis van Niekerk|Janine Eser|Jerry Mofokeng|Patrick Shai|Ross Preller|Joshua Lindberg|Desmond Dube|Duma Tsepane|Gary Coppin|Themba Ndaba|Mandy Gulwa,Inside (1996),10
4098,Gérard Bitton Comedy 1990s|first person title|paris france|local blockbuster Richard Anconina|Richard Bohringer|Amira Casar|Vincent Elbaz|Aure Atika|Elie Kakou|José Garcia|Bruno Solo|Gilbert Melki|Sabrina Van Tassel|Anthony Delon|Ali Mehar Akhtar|Guy Amram|Valérie Benguigui|Betty Berr,La vérité si je mens ! (1997),10
10547,Shôzaburô Asai Action|Drama village|blind|taxes|zatoichi Shintarô Katsu|Shôgo Shimada|Mikiko Tsubouchi|Machiko Hasegawa|Tomisaburô Wakayama|Tatsuya Ishiguro|Shinjirô Asano|Saburô Date|Hikosaburo Kataoka|Tanbâ Matasaburô|Toranosuke Tennoji|Kôichi Mizuhara|Hiroshi Hayashi|Yûsaku Terashima|Ichirô Takakura,Zatoichi and the Chest of Gold (Zatôichi senryô-kubi) (Zatôichi 6) (1964),10
5768,Jon Sagalá Drama|Thriller couple|spain|married couple|cabin Gary Oldman|Virginie Ledoyen|Paddy Considine|Aitana Sánchez-Gijón|Lluís Homar|Jon Ariño|Álex Angulo|Kandido Uranga|Andrés Gertrúdix|Patxi Bisquert|Savitri Ceballos|José Andrés Zalguegui|Ramón Churruca|Isabel Jiménez|Yaiza Esteve,Backwoods (Bosque de sombras) (2006),10
8586,Olivier Assayas Thriller sex scene|shot in the head|affair|adultery Asia Argento|Michael Madsen|Kelly Lin|Carl Ng|Kim Gordon|Alex Descas|Joana Preiss|Sau-Ming Tsang|Bing Hei Chim|Kim Lee Wing|Fan Wei Yee|Boss Mok|Régis Vidal|François-Renaud Labarthe|Mustapha Abdellah,Boarding Gate (2007),10
8200,Murray Head Drama|Romance love triangle|prostitute|erotica|scandal Juliette Binoche|Benoît Magimel|Stefano Dionisi|Robin Renucci|Karin Viard|Isabelle Carré|Patrick Chesnais|Arnaud Giovaninetti|Denis Podalydès|Olivier Foubert|Marie-France Mignal|Michel Robin|Ludivine Sagnier|Victoire Thivisol|Julien Léal,"Children of the Century, The (Enfants du siècle, Les) (1999)",10
9800,Robert Rodriguez Drama teensploitation|psychotronic film|mexican actress playing american character|teen movie David Arquette|John Hawkes|Salma Hayek|Jason Wiles|William Sadler|O'Neal Compton|Christian Klemash|Aaron Vaughn|Tammy Brady Conrad|Mark Lowenthal|Karen Landry|Lance LeGault|Tommy Nix|Gina Mari|Boti Bliss,Roadracers (1994),10
8583,Olivier Assayas Drama teen movie|youth|commune|family relationships Virginie Ledoyen|Cyprien Fouquet|László Szabó|Jean-Pierre Darroussin|Dominique Faysse|Smaïl Mekki|Jackie Berroyer|Jean-Christophe Bouvet|Ilona Györi|Renée Amzallag|Jérôme Simonin|Laetitia Lemerle|Alexandra Yonnet|Caroline Doron|Laetitia Giraud,"Cold Water (Eau Froide, L') (1994)",10
6336,Ken Loach Drama|Romance|War nicaraguan|bus|bus driver|glasgow scotland Robert Carlyle|Oyanka Cabezas|Scott Glenn|Salvador Espinoza|Louise Goodall|Richard Loza|Gary Lewis|Subash Singh Pall|Stewart Preston|Margaret McAdam|Pamela Turner|Greg Friel|Anne Marie Timoney|Andy Townsley|Alicia Devine,Carla's Song (1996),10
2884,Dode B. Levenson Comedy|Romance childhood friend|falling in love|ill father|dialogue over end credits Shane McRae|Aubrey Dollar|Daniel J. Travanti|Janet Ulrich Brooks|Mary Jo Faraci|Ron Dean|Robert Belushi|Rebecca Spence|Heidi Johanningmeier|Lily Spottiswoode|Jen Lilley|Emily Graham-Handley|Courtney Parks|Gabe Bowling|William Baker,One Small Hitch (2013),10
3739,Gaylene Preston Documentary new zealand|italy|england|talking head Jean Andrews|Judith Fyfe|Rita Graham|Neva Clarke McKenna|Tui Preston|Penny Quill|Flo Small|Mabel Waititi,War Stories (1995),10
2735,Dayna Goldfine Crime|Documentary|Mystery utopia|cow|chicken meat|clarinetist Cate Blanchett|Sebastian Koch|Thomas Kretschmann|Diane Kruger|Connie Nielsen|Josh Radnor|Gustaf Skarsgård|Octavio Latorre|Fritz Hieber|Steve Divine|Teppy Angermeyer|Jacqueline De Roy|Gil De Roy|Carmen Angermeyer|Jacob Lundh,"Galapagos Affair: Satan Came to Eden, The (2013)",10
5415,Joel Edgerton Thriller male wears underwear|man wrapped in a towel|money|christmas David Roberts|Claire van der Boom|Peter Phelps|Bill Hunter|Kieran Darcy-Smith|Stephen Weston|Lisa Bailey|Lucy Bell|Anthony Hayes|Damon Herriman|Brendan Donoghue|Luke Doolan|Greg Hatton|Joel Edgerton|Hanna Mangan Lawrence,"Square, The (2008)",10
8879,Paul Rodriguez Comedy family relationships|restaurant|money|community Paul Rodriguez|Tony Plana|Bert Rosario|Polly Draper|Jonathan Hernandez|Larry Linville|Victor Rivers|Maria Rangel|Leslie Danon|Evelina Fernández|Gerardo Mejía|David Rasche|Edward James Olmos|Pepe Serna|Liz Torres,"Million to Juan, A (1994)",10
10777,Stephen M. Coates Crime|Thriller pervert|pedophile|hood|mask Jamie Bamber|Lachy Hulme|Gary Abrahams|Sam Parsonson|Brendan Clearkin|Brooke Ryan|Ditch Davey|Louise Crawford|Guy Kable|Randall Berger|Isabella Woodlock|Barry Quin|Erin Dewar|Richard Moss|Chris Palframan,John Doe: Vigilante (2014),10
2248,Dan Kay Horror|Thriller west virginia|voyeurism|voyeur|sexual desire Josh Randall|Brianna Brown|Nick Searcy|Beth Broderick|Sascha Rosemann|T.W. Leshner|Branden Morgan|Ryan McGee|Carl Bressler|Debbie Jaffe|Suzanna Urszuly|Ryan Wiik,Timber Falls (2007),10
3467,Fernando Barreda Luna Horror|Thriller mockumentary|legend|labyrinth|girl Cristian Valencia|Clara Moraleda|Chus Pereiro|Sergi Martin|Xavi Doz|Jose Masegosa|Rafael Amaya|Sammy Gad|Ferran Casterà Mosquera|Anne Sanz|Carlos Blanco Barberà|Rebecca Gil|Efrem Pinto|Silvia Arnau|Carlos Gaya,Atrocious (2010),10
2904,Dominique Othenin-Girard Horror|Mystery|Thriller evil girl|antichrist|psychotronic film|supernatural Faye Grant|Michael Woods|Michael Lerner|Madison Mason|Ann Hearn|Jim Byrnes|Don S. Davis|Asia Vieira|Megan Leitch|Joy Coghill|David Cameron|Duncan Fraser|Susan Chapple|Dana Still|Andrea Mann,Omen IV: The Awakening (1991),10
4101,Gérard Jugnot Comedy|Drama character name as title|two word title|german|escape Jules Sitruk|Gérard Jugnot|Michèle Garcia|Jean-Paul Rouve|Alexia Portal|Violette Blanckaert|Daphné Baiwir|Götz Burger|Élisabeth Commelin|Hubert Saint-Macary|Daniel Martin|Nadine Spinoza|Damien Jouillerot|Philippe du Janerand|Marie-Gaëlle Cals,Monsieur Batignole (2002),10
8001,Mick Jackson Drama|Thriller children|child molestation|trial|school James Woods|Mercedes Ruehl|Lolita Davidovich|Sada Thompson|Henry Thomas|Shirley Knight|Mark Blum|Alison Elliott|Chelsea Field|Joe Urla|Scott Waara|Valerie Wildman|Richard Bradford|Roberta Bassin|Patricia Belcher,Indictment: The McMartin Trial (1995),10
6033,Julia Loktev Crime|Drama|Thriller bomb in a backpack|bomber|backpack|suicide bomber Luisa Williams|Josh Philip Weinstein|Gareth Saxe|Nyambi Nyambi|Frank Dattolo|Annemarie Lawless|Teo Yoo|Richard Morant|Jennifer Camilo|Rosemary Apolinaris|Jennifer Restrepo|Julissa Perez|Anthony Dhani|Orlando S. Gondar,Day Night Day Night (2006),10
4919,Jaume Balagueró Drama|Horror|Mystery stockholm syndrome|good versus evil|rotting corpse|torture Emma Vilarasau|Karra Elejalde|Tristán Ulloa|Toni Sevilla|Brendan Price|Jordi Dauder|Núria Cano|Isabel Ampudia|Carles Punyet|Aleix Puiggalí|Susana García Díez|Pep Tosar|Carme Capdet|Manel Solás|Víctor Guillén,"Nameless, The (Los sin nombre) (1999)",10
6025,Jukka-Pekka Siili Documentary selanne|winnipeg jets|the finnish flash|olympic games Teemu Selänne|Don Baizley|Bruce Boudreau|Brian Burke|Valtteri Filppula|Neka Haapanen|Hjallis Harkimo|Phil Housley|Kari Juurikka|Paul Kariya|Mikko Koivu|Kalervo Kummola|Jari Kurri|David McNab|Frank Moberg,Sel8nne (2013),10
87,Adam Dubin Comedy comedian|stand up comedian|anger|profanity Lewis Black,Lewis Black: Stark Raving Black (2009),10
4926,Javier Fesser Action|Adventure|Comedy slapstick comedy|spoof|secret agent|local blockbuster Benito Pocino|Pepe Viyuela|Dominique Pinon|Paco Sagarzazu|Mariano Venancio|Janfri Topera|Berta Ojea|María Isbert|Emilio Gavira|Germán Montaner|Janusz Ziemniak|Paco Hidalgo|Javier Aller|Luis Ciges|José Manuel Moya,Mortadelo & Filemon: The Big Adventure (La gran aventura de Mortadelo y Filemón) (2003),10
10936,Steven Silver Drama 1990s|year 1994|photo journalist|south african Ryan Phillippe|Malin Akerman|Taylor Kitsch|Neels van Jaarsveld|Frank Rautenbach|Nina Milner|Jessica Haines|Lika Berning|Kgosi Mongake|Russel Savadier|Patrick Shai|Alfred Kumalo|Craig Palm|Nick Boraine|Patrick Lyster,"Bang Bang Club, The (2010)",10
6026,Jukka-Pekka Siili Drama bare chested male|stabbed with a knife|stabbed to death|brother versus brother Lauri Tilkanen|Mikko Leppilampi|Pamela Tola|Aku Hirviniemi|Eero Milonoff|Esko Salminen|Lena Meriläinen|Taneli Mäkelä|Olavi Uusivirta|Pirkka-Pekka Petelius|Kari Hietalahti|Ali Ahovaara|Teemu Kettula|Toni Ikola|Pia Latomäki,Perifery (Härmä) (2012),10
10596,Simon Rumley Drama|Horror|Mystery downward spiral|nurse|barricade|domineering mother Leo Bill|Roger Lloyd Pack|Kate Fahy|Sarah Ball|Neil Conrich|Richard Cotton|Alan Perrin|Richard Syms,"Living and the Dead, The (2006)",10
5917,Josh Aronson Documentary maryland school for the deaf|cake|card game|hearing Jaime Leigh Allen|Jemma Braham|Freeda Cat|Scott Davidson|Ruthanne Gereghty|John Griffin|Barbara Herel|David Jacobs|Karl Katz|John Kaufman|Ann Lenane|Phillip Namanworth|Veronica Nash|Saul Nathan-Kazis|Allison Weisberg,Sound and Fury (2000),10
2187,D.B. Woodside Drama|Musical tv mini series|singer|motown|1960s Charles Malik Whitfield|D.B. Woodside|Terron Brooks|Christian Payton|Leon|Alan Rosenberg|Tina Lifford|Jenifer Lewis|Gina Ravera|Obba Babatundé|Erik Michael Tristan|J. August Richards|Harold Surratt|Charles Ley|Vanessa Bell Calloway|Mel Jackson|Rhonda Ross Kendrick|Vincent A. Ponder|Chaz Lamar Shepherd|Stevland Parks|Christopher Reid|Chrystal Bates|Bianca Lawson|Melissa Linton|Taifa Harris|N'Tasha A. Pierre|Ricky Fante|Russell Clark|Adam Lazarre-White|Benjamin J. Cain Jr.|Peter Anthony|Tommy Lafitte|Lamman Rucker|Nyjah Moore|Danni Vasser|Jonnie Brown|Charles Brown|Ronnie Beasley|Thomas Martell Brimm|Albridge Bryant|Ezra S. Coles|Marcel Curges|Anthony Dixon|Dennis Edwards|Melvin Franklin|Michael Fullmer|Shelly Hall|Shelton Hall|Tony Haris|Eric Hersh|Amanda Iwanonkiw|Jesse Iwanonkiw|Stephaine Iwanonkiw|Leonard Julien III|Robert Knowles|Mandell Loman|Tremayne McCoy|Larry John Meyers|Smokey Robinson|Thomas Ross|David Ruffin|Tim Stevens|Richard Street|Maurice Walker|J.R. Whittington|Stephanie Bertoni|Stephanie Haff|Brett Kennedy|Jalil Jay Lynch|Yves Jean|Eddie Kendricks|Martha Reeves|Otis Williams|Paul Williams,"Temptations, The (1998)",10
2319,Daniel MacIvor Drama soda|dishwashing|secret|dying Molly Parker|Rebecca Jenkins|Stacy Smith|Marguerite McNeil|Ellen Page|Hollis McLaren|Emmy Alcorn|Joseph Rutten|Nicola Lipman|Jackie Torrens|Kevin Curran|Ashley MacIsaac|Heather Rankin|Linda Busby|Stephen Manuel,Marion Bridge (2002),10
1390,Brian Bird Drama|Romance african american protagonist|based on novel Morris Chestnut|Taraji P. Henson|Maeve Quinlan|Kevin Hart|Wood Harris|Eddie Cibrian|Jenifer Lewis|Niecy Nash|Cannon Jay|Albert Hall|Jeff Krebs|Nathaniel Carter|Brendon Terrell Ferguson|Kwame Boateng|Henry Brown,Not Easily Broken (2009),10
1672,Charles Agron Horror|Thriller teenage|abandoned mansion|mansion Luke Kleintank|Alex McKenna|Anthony Rey|Zack Ward|Lacey Anzelc|Ethan S. Smith|Lesley-Anne Down|Tobin Bell|Charles Agron|Tonya Carter|Brandon Smith|Daniel Ross Owens|Max Gail|Patricia Belcher|Tony Sanford,Dark House (2014),10
6934,Lori Petty Drama iowa|tween girl|drug abuse|interracial rape Jennifer Lawrence|Javon Johnson|Sophi Bairley|Bokeem Woodbine|Chloë Grace Moretz|Casey Tutton|Matthew Gerdisch|Robert Gerdisch|Lucas Ellman|Kymberly Mellen|Andrew Rothenberg|Danielle Campbell|Selma Blair|Jayce Ryan|Kirsten Mose,"Poker House, The (2008)",10
3306,Eric Schaeffer Comedy hot|sex scene|sexy|male frontal nudity Eric Schaeffer|Eric Mabius|Devin Matthews|Zane Adlum|Callie Thorne|Samantha Buck|Jennifer Wiltsie|Peggy Gormley|John Doman|Caroline Strong|Don Creech|John Deyle|Bryan Callen|Mel Rodriguez|Stefan Niemczyk,Wirey Spindell (2000),10
12273,Émile Zola Crime|Drama|Romance|Thriller cousins incest|drowning|arranged marriage|female masturbation Elizabeth Olsen|Oscar Isaac|Tom Felton|Jessica Lange|Shirley Henderson|Matt Lucas|Mackenzie Crook|John Kavanagh|Lily Laight|Matt Devere|Dimitrije Bogdanov|Aleksandr Ivanovic|Filip Dedakin|Richard Sharkey|Miodrag Milovanov,In Secret (2013),10
3219,Emma Thompson Drama f rated|victorian era|love triangle|paint Dakota Fanning|Polly Dartford|Greg Wise|Tom Sturridge|Tom Herriott|Sam Churchill|Martin Keatman|Chris Haggart|Alex Dabestani|George Laing|Patrick Doyle|Peter Farr|Nicola Draffan|Tutu Jereissati|Russell Tovey,Effie Gray (2014),10
3938,Gordon Chan Drama|Romance painter|daisy|artist|sniper Ji-Hyun Jun|Woo-sung Jung|Sung-Jae Lee|Sara Bernardo Aires|David Chiang|Ho-jin Chun|Dion Lam|Man-Lung Tang,Daisy (2006),10
8980,Pete Fromm Comedy|Drama watching tv|small town|teenager|teenage girl Sarah Bolger|Thomas Mann|James Marsden|Claire Danes|Seth Adkins|Tom Romero|Anika Noni Rose|Jeremy Sisto|Mario Batali|Beth Bailey|Josh Berry|Evan Adrian|Will Peltz|Terry Walters|Rachel Hroncich,As Cool As I Am (2013),10
7087,Macon Blair Horror|Thriller paw|wish|car accident|graveyard C.J. Thomason|Stephen Lang|Michelle Pierce|Corbin Bleu|Daniel Hugh Kelly|Charles S. Dutton|Tauvia Dawn|Andy Favreau|Grayson Berry|Sabrina Gennarino|John Lewis|Adella Gautier|Brooklyn Proctor|Jacob Robinson|Jason Stanly,"Monkey's Paw, The (2013)",10
4617,Jacques Martineau Comedy|Musical|Romance pubic hair|male pubic hair|male nudity|bare chested male Valeria Bruni Tedeschi|Gilbert Melki|Jean-Marc Barr|Jacques Bonnaffé|Edouard Collin|Romain Torres|Sabrina Seyvecou|Yannick Baudin|Julien Weber|Sébastien Cormier|Marion Roux,Côte d'Azur (Crustacés et coquillages) (2005),10
10670,Stan Adelstein Adventure|Documentary|Drama|Thriller year 1985|year 1973|year 1979|year 1978 Stan Adelstein|Lanice Archer|Robert Bakker|Philip Currie|Kristin Donnan|Patrick Duffy|Bruce Ellison|Denise Etzkorn|Bob Farrar|Bill Harlan|Susan Hendrickson|Lynn Hochstafl|Peter L. Larson|Neal L. Larson|Phillip Manning,Dinosaur 13 (2014),10
5988,João Pedro Rodrigues Drama lisbon portugal|underwear|locker room|penis Ricardo Meneses|Beatriz Torcato|Andre Barbosa|Eurico Vieira|Jorge Almeida|Salomão|Joaquim Oliveira|Florindo Lourenço|Rodrigo Garin|Luis Zorro|Maria Paola Porru|João Rui Guerra da Mata|Lorde|Swing,Phantom (O Fantasma) (2000),10
4546,J.S. Cardone Action|Sci-Fi|Thriller alien|elevator|alien invasion|u boat James Spader|Janine Eser|John Lynch|Nikolai Binev|Leslie Stefanson|Aimee Graham|Stuart Charno|Carl Lewis|Svetla Vasileva|Anthony Crivello|Kaloian Vodenicharov|George Stanchev|Rufus Dorsey|Roy Dotrice|Woody Schultz,Alien Hunter (2003),10
7056,Lynn Hershman-Leeson Drama|Sci-Fi candlelit bath|crying|implanted memory|computer Tilda Swinton|Francesca Faridany|Timothy Leary|Karen Black|John O'Keefe|John Perry Barlow|J.D. Wolfe|Owen Murphy|David Brooks|Esther Mulligan|Ellen Sebastian|Mark Capri|Joe Wemple|Chris von Sneidern|David Eppel,Conceiving Ada (1997),10
4615,Jacques Fieschi Drama memory|africa|party|gerontologist Michel Bouquet|Charles Berling|Natacha Régnier|Amira Casar|Stéphane Guillon|Hubert Koundé|Karole Rocher|Marie Micla|Nicole Evans|Philippe Lehembre|Pierre Londiche|Jean-Christophe Lemberton|Manoëlle Gaillard|Etienne Louvet|Claude Koener,How I Killed My Father (a.k.a. My Father and I) (Comment j'ai tué mon Père) (2001),10
10906,Steven Gaydos Romance|Thriller filmmaker|passion|murder|hairy chest Tygh Runyan|Dominique Swain|Shannyn Sossamon|John Diehl|Cliff De Young|Waylon Payne|Rob Kolar|Nic Paul|Fabio Testi|Fabio Tricamo|Moxie|Peter Bart|Pete Manos|Mallory Culbert|Beck Latimore,Road to Nowhere (2010),10
4555,JK Youn Drama bridge collapse|korea|tsunami|tears Ji-Won Ha|Myeong-hoon Park|Min-ki Lee|Kyung-gu Sol|Uhm Junghwa|Ye-won Kang|In-kwon Kim|Nicole Dionne|Joong-Hoon Park|Jae-ho Song|Jason Fenton|Ho-min Yeo|Byoung-Sook Sung|Lee Briggs|Dong-heon Yeom,Tidal Wave (2009),10
3927,Gloria Demers Drama title directed by female|feminist film|stranded|non professional actor Alice Diabo|Beth Webber|Catherine Roche|Cissy Meddings|Constance Garneau|Mary Meigs|Michelle Sweeney|Winifred Holden,Strangers in Good Company (1990),10
6545,Krishna Rao Action|Comedy|Sci-Fi handcuffed man|dimension|crystal|tied up Rutger Hauer|Josh Charles|Stuart Wilson|Andrea Roth|Perry Anzilotti|Jack Black|Richard McGregor|Ellen Geer|Beverly Johnson|Michael Stadvec|Michael Wiseman|Shani Rigsbee|Norita Golanos|Tony Ervolina,Crossworlds (1997),10
8221,Nadav Schirman Documentary|Drama|Thriller hamas|anti terrorism|family relationships Mosab Hassan Yousef|Gonen Ben Yitzhak|Sheikh Hassan Yousef,The Green Prince (2014),10
4556,Jaak Kilmi Documentary disco|finnish television|television|soviet union Kiur Aarma|Jaak Kilmi|Alo Kõrve|Jaan Tootsen|Liina Vahtrik|Eduard Toman|Urho Kekkonen|Esko Salminen|Teija Sopanen|Lieko Zachovalová|Sakari Kiuru|Arvo Sildnik|Edward Lucas|Ami Aspelund|Yuri Andropov,Disco and Atomic War (Disko ja tuumasõda) (2009),10
1457,Brin Hill Drama school|children|teacher|inner city Maggie Gyllenhaal|Viola Davis|Oscar Isaac|Holly Hunter|Rosie Perez|Emily Alyn Lind|Dante Brown|Lance Reddick|Ving Rhames|Bill Nunn|Ned Eisenberg|Marianne Jean-Baptiste|Liza Colón-Zayas|Nancy Bach|Keith Flippen,Won't Back Down (2012),10
9484,Richard Dawkins Documentary reality vs fantasy|snake oil|science versus supernatural|science Derren Brown|Deepak Chopra|Richard Dawkins|Chris French|Craig Hamilton-Parker|Nicholas Humphrey|Satish Kumar,"Enemies of Reason, The (2007)",10
1673,Charles Band Comedy|Horror bong|college|marijuana|hot wheels David Weidoff|John Patrick Jordan|Mitch Eakins|Brian Lloyd|Robin Sydney|Kristyn Green|Tommy Chong|Michelle Mais|Jacob Witkin|Kristen Caldwell|Phil Fondacaro|Tim Thomerson|Bill Moseley|Brandi Cunningham|Dana Danes,Evil Bong (2006),10
4150,Hannah Arendt Drama palestine|cruise|essay film|jew Jean-Marc Stehlé|Agatha Couture|Mathias Domahidy|Quentin Grosset|Olga Riazanova|Maurice Sarfati|Patti Smith|Lenny Kaye|Bernard Maris|Marie-Christine Bergier|Nadège Beausson-Diagne|Bob Maloubier|Dominique Devals|Alain Badiou|Elias Sanbar,Socialism (Film socialisme) (2010),10
1994,Clarence 'Gatemouth' Brown Documentary new york city|manhattan new york city|historical event|blues music Aerosmith|Gregg Allman|India Arie|James Blood Ulmer|Clarence 'Gatemouth' Brown|Ruth Brown|Solomon Burke|Chuck D|Natalie Cole|Shemekia Copeland|Bill Cosby|Robert Cray|Dr. John|Honeyboy Edwards|John Fogerty,Lightning in a Bottle (2004),10
62,Abel Ferrara Comedy|Drama stripper|strip club|pole dancing|nightclub Willem Dafoe|Bob Hoskins|Matthew Modine|Asia Argento|Riccardo Scamarcio|Sylvia Miles|Roy Dotrice|Joe Cortese|Burt Young|Stefania Rocca|Bianca Balti|Shanyn Leigh|Lou Doillon|Frankie Cee|Pras Michel,Go Go Tales (2007),10
4288,Hermine Huntgeburth Drama|Romance malaria|jealous husband|cultural difference|based on true story Nina Hoss|Jacky Ido|Katja Flint|Antonio Prester|Janek Rieke|Helen Namaso Lenamarken|Nicolas Sironka|Damaris Itenyo Agweyu|Barbara M. Ahren|Robert Dölle|Barbara Herschbach|Morgan Lematampash|Kiriniyaga Lenamatiyo|Christine Namkuny|John Erick,"White Massai, The (Weisse Massai, Die) (2005)",10
6760,Lawrence Kasanoff Action|Animation|Children|Comedy troubled production|food|supermarket|femme fatale Charlie Sheen|Hilary Duff|Eva Longoria|Wayne Brady|Christopher Lloyd|Chris Kattan|Larry Miller|Edward Asner|Jerry Stiller|Christine Baranski|Lawrence Kasanoff|Harvey Fierstein|Cloris Leachman|Haylie Duff|Shelley Morrison,Foodfight! (2012),10
5640,John R. Cherry III Children|Comedy ernest p. worrell character|basketball|angel|seventh part Jim Varney|Cylk Cozart|Kareem Abdul-Jabbar|Colin Lawrence|Miguel A. Núñez Jr.|Lester Barrie|Richard Leacock|Jay Brazeau|Stevie Vallance|Aaron Joseph|Douglas Newell|Henry O. Watson|Lossen Chambers|Charles Andrew Payne|Brenda Crichlow,Slam Dunk Ernest (1995),10
9303,Rachid Bouchareb Drama|Mystery missing son|guernsey|muslim|london bus Brenda Blethyn|Sotigui Kouyaté|Sami Bouajila|Roschdy Zem|Francis Magee|Bernard Blancan|Marc Baylis|Gareth Randall|Aurélie Eltvedt|Mathieu Schiffman|Diveen Henry|Salah Mohamed-Marich|Gurdepak Chaggar|Faycal Sekkoum|Sherekia Barton,London River (2009),10
8128,Minoru Furuya Children|Crime|Drama disturbed person|crying man|mass murder|stalking Shôta Sometani|Fumi Nikaidô|Tetsu Watanabe|Mitsuru Fukikoshi|Megumi Kagurazaka|Ken Mitsuishi|Makiko Watanabe|Asuka Kurosawa|Denden|Jun Murakami|Yôsuke Kubozuka|Yuriko Yoshitaka|Takahiro Nishijima|Anne Suzuki|Moto Fuyuki,Himizu (2011),10
11148,Ted Braun Documentary darfur|humanitarian|sudan|united nations Ahmed Mahammed Abaka|Sheikh Ahmed Mohamad Abakar|Hawa Abaker|Hejewa Adam|Kalatumh Adam|Xabier Aguirre|Sam Brownback|Don Cheadle|Hillary Clinton|George Clooney|Adam Cygman|Essa Faal|Vanessa Haas|Nimeri Issa|Asha Abdal Khaleeq,Darfur Now (2007),10
1596,Carol Heikkinen Drama|Romance dance academy|american ballet academy|ballet|dance film Kenny Wormald|Rachele Brooke Smith|Sarah Jayne Jensen|Nicole Muñoz|Christopher Russell|Peter Gallagher|Ethan Stiefel|Christian Vincent|Daniela Dib|Yan-Kay Crystal Lowe|Lucia Walters|Cody Green|Jacqueline Ann Steuart|Keith Martin Gordey|Anthony Harrison,Centre Stage: Turn It Up (2008),10
1046,Bart De Pauw Comedy|Thriller loft|friend|f rated|bare breasts Fedja van Huêt|Barry Atsma|Jeroen van Koningsbrugge|Gijs Naber|Marwan Kenzari|Anna Drijver|Sallie Harmsen|Kim van Kooten|Lies Visschedijk|Hadewych Minis|Katja Herbers|Carolien Spoor|Charlie Chan Dagelet|Renée Fokker|Raymond Thiry,Loft (2010),10
8546,Ola Simonsson Comedy drum|drummer|kitchen|toilet Johannes Björk|Magnus Börjeson|Marcus Haraldson|Fredrik Myhr|Sanna Persson|Anders Vestergard|Barbro Gustafson Löfgren|Zerby Thor|Anders Jansson|Michael Blakey,Music for One Apartment and Six Drummers (2001),10
2971,Doug Pray Documentary advertising|apple computer|punctuation in title Lee Clow|Jim Durfee|Cliff Freeman|Jeff Goodby|David Kennedy|George Lois|Charlie Moss|Hal Riney|Phyllis K. Robinson|Ed Rollins|Rich Silverstein|Mary Wells|Dan Wieden,Art & Copy (2009),10
1382,Brett Leonard Documentary|IMAX surrealism|gay interest|las vegas nevada|magic Siegfried Fischbacher|Roy Horn|Anthony Hopkins|John Summers|Dillon McEwin|Cameron Alexander|Richie Solomon|Steve Tom|Kelly Van Halen,Siegfried & Roy: The Magic Box (1999),10
11012,Susan Chan Drama old people's home|stroke|urban setting|cameo appearance Andy Lau|Deannie Ip|Hailu Qin|Fuli Wang|Paul Chun|Tin Leung|Man-sze Yu|Eman Lam|Elena Kong|Chi-san Chan|So-Ying Hui|Anthony Chau-Sang Wong|Chapman To|Raymond Chow|Felicia Chow,"Simple Life, A (Tao jie) (2011)",10
9297,Rachel Grady Documentary manufacturing|urban decay|deindustrialization|downsizing Noah Stewart|Rachele Gilmnore|Michael Wanko|Michigan Opera Theatre Orchestra|The Nyce Band|94 East|Luann French|Schuyler Campbell|Todd Cochell|Dave Graw|Crystal Starr|George McGregor|Tommy Stephens|David Dichiera|Dave Bing,Detropia (2012),10
9378,Raoul Peck Drama|War genocide|camera shot of feet|female stockinged soles|female stockinged legs Idris Elba|Carole Karemera|Pamela Nomvete|Oris Erhuero|Fraser James|Abby Mukiibi Nkaaga|Cleophas Kabasita|Noah Emmerich|Debra Winger|Peninah Abatoni|Ashani Alles|Hope Azeda|Théogène Barasa|Dan Barlow|Johannes Bausch,Sometimes in April (2005),10
6302,Keiichi Hasegawa Action|Fantasy|Sci-Fi kaiju|shared universe|monster|king ghidorah character Chiharu Niiyama|Ryûdô Uzaki|Masahiro Kobayashi|Shirô Sano|Takashi Nishina|Kaho Minami|Shin'ya Ohwada|Kunio Murai|Hiroyuki Watanabe|Shingo Katsurayama|Toshikazu Fukawa|Masahiko Tsugawa|Hideyo Amamoto|Nobuaki Kakuda|Takafumi Matsuo,"Godzilla, Mothra, and King Ghidorah: Giant Monsters All-Out Attack (Gojira, Mosura, Kingu Gidorâ: Daikaijû sôkôgeki) (Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack) (2001)",10
